,energyConsumption,ms,tx_power_median,ECL_median,Location Coverage,energyConsumptionTx,msTx,duration,interval,psize,tau,Throughput
3838,4.192399999999991,24258.749,-220.0,0.0,1.0,0.04939999999999145,256.5,3600,60.0,20,10010100.0,623.7816764132554
3839,4.185400000000016,24169.499,-210.0,1.0,1.0,0.04820000000000847,260.249,3600,60.0,20,10010100.0,614.795830147282
3840,4.18689999999998,24379.75,-220.0,0.0,1.0,0.021499999999974758,100.499,3600,60.0,20,10010100.0,1592.0556423447001
4064,2.3269999999999977,23163.25,-200.0,0.0,1.0,0.0484000000000151,347.751,3600,60.0,512,10010100.0,11778.542692903833
4065,2.4261000000000195,24315.25,-210.0,0.0,1.0,0.05160000000000764,424.749,3600,60.0,512,10010100.0,9643.342303336794
4066,2.313400000000001,22655.999,-220.0,0.0,1.0,0.04899999999997817,347.25,3600,60.0,512,10010100.0,11795.536357091432
4067,2.3140999999999963,22494.0,-230.0,0.0,1.0,0.04879999999997153,348.749,3600,60.0,512,10010100.0,11744.836544334175
4068,2.3155000000000427,22821.499,-220.0,0.0,1.0,0.05740000000002965,440.5,3600,60.0,512,10010100.0,9298.524404086264
4069,2.3314000000000306,23123.75,-210.0,0.0,1.0,0.046199999999998916,293.0,3600,60.0,512,10010100.0,13979.522184300342
4070,2.320100000000025,23083.251,-210.0,0.0,1.0,0.04770000000002028,342.0,3600,60.0,512,10010100.0,11976.608187134505
4071,2.3260000000000223,23238.999,-210.0,0.0,1.0,0.04790000000002692,345.5,3600,60.0,512,10010100.0,11855.282199710564
4072,2.3133999999999446,22480.751,-200.0,0.0,1.0,0.052099999999995816,422.25,3600,60.0,512,10010100.0,9700.414446418
4073,2.3140999999999963,23017.75,-220.0,0.0,1.0,0.05180000000001428,349.0,3600,60.0,512,10010100.0,11736.389684813756
4074,2.3150999999999726,22686.249,-200.0,0.0,1.0,0.048699999999996635,347.75,3600,60.0,512,10010100.0,11778.576563623292
4075,2.3310000000000173,23219.249,-210.0,0.0,1.0,0.048699999999996635,346.75,3600,60.0,512,10010100.0,11812.545061283345
4076,2.428799999999967,24378.251,-230.0,0.0,1.0,0.05169999999998254,421.751,3600,60.0,512,10010100.0,9711.891613772108
4077,2.3094999999999573,22653.751,-230.0,0.0,1.0,0.049500000000023185,348.749,3600,60.0,512,10010100.0,11744.836544334175
4078,2.3167000000000257,22510.5,-240.0,0.0,1.0,0.048599999999964894,346.499,3600,60.0,512,10010100.0,11821.101936802126
4079,2.318399999999997,22853.999,-240.0,0.0,1.0,0.050499999999999545,389.75,3600,60.0,512,10010100.0,10509.300833867865
4080,2.336999999999989,23173.001,-230.0,0.0,1.0,0.01890000000003056,107.25,3600,60.0,512,10010100.0,38191.142191142186
4081,2.319999999999993,23119.001,-230.0,0.0,1.0,0.049200000000041655,348.249,3600,60.0,512,10010100.0,11761.699243931786
4082,2.323099999999954,23223.249,-230.0,0.0,1.0,0.04820000000000847,347.5,3600,60.0,512,10010100.0,11787.05035971223
4083,2.419500000000028,23931.499,-220.0,0.0,1.0,0.052099999999995816,425.25,3600,60.0,512,10010100.0,9631.981187536745
4084,2.3196000000000367,23052.251,-230.0,0.0,1.0,0.0514999999999759,348.749,3600,60.0,512,10010100.0,11744.836544334175
4085,2.3186000000000035,22765.25,-230.0,0.0,1.0,0.049100000000009913,349.251,3600,60.0,512,10010100.0,11727.954966485422
4086,2.311099999999953,22654.999,-230.0,0.0,1.0,0.05090000000001282,392.501,3600,60.0,512,10010100.0,10435.642202185472
4087,2.3222000000000094,23023.25,-220.0,0.0,1.0,0.05219999999997072,422.501,3600,60.0,512,10010100.0,9694.651610292049
4088,2.3146000000000413,22752.251,-230.0,0.0,1.0,0.03460000000001173,226.499,3600,60.0,512,10010100.0,18083.965050618324
4089,2.3188999999999282,22653.25,-230.0,0.0,1.0,0.04899999999997817,349.5,3600,60.0,512,10010100.0,11719.599427753934
4090,2.317400000000021,23028.249,-230.0,0.0,1.0,0.05010000000004311,388.749,3600,60.0,512,10010100.0,10536.361508325424
4091,2.3391000000000304,23304.0,-230.0,0.0,1.0,0.0484000000000151,346.75,3600,60.0,512,10010100.0,11812.545061283345
4092,2.3237000000000307,23246.5,-230.0,0.0,1.0,0.04909999999995307,348.5,3600,60.0,512,10010100.0,11753.228120516498
4093,2.319099999999935,22930.251,-230.0,0.0,1.0,0.04849999999999,347.499,3600,60.0,512,10010100.0,11787.084279379222
4094,2.4237000000000535,24137.499,-230.0,0.0,1.0,0.052099999999995816,422.499,3600,60.0,512,10010100.0,9694.697502242607
